naziv,sifra,marka,jedinica_mjere,cijena_za_jedinicu_mjere,maloprodajna_cijena,posebni_oblik_prodaje,naziv_posebnog_oblika_prodaje,sidrena_cijena,barkod,dostupnost
Adapter za crijevo za kisik,1036569,Salter,,,1.96,NE,,1.96,,dostupno
Antidekubitalni jastuk za invalidska kolica - 38cm*38cm*6cm,829022.38,Identites,,,69.00,NE,,69.00,,nedostupno
Antidekubitalni jastuk za invalidska kolica - 41cm*39*6cm,829022.41S,Identites,,,69.00,NE,,69.00,,nedostupno
Antidekubitalni jastuk za invalidska kolica - 41cm*41cm*6cm,829022.41,Identites,,,69.00,NE,,69.00,,nedostupno
Antidekubitalni jastuk za invalidska kolica - 43cm*41cm*6cm,829022.43S,Identites,,,69.00,NE,,69.00,,nedostupno
Antidekubitalni jastuk za invalidska kolica - 43cm*43cm*6cm,829022.43,Identites,,,69.00,NE,,69.00,,nedostupno
Antidekubitalni jastuk za invalidska kolica - 45cm*42cm*6cm,829022.45S,Identites,,,69.00,NE,,69.00,,nedostupno
Antidekubitalni jastuk za sjedenje 829013,OXY-829013,Identites,,,56.00,NE,,56.00,,dostupno
Antidekubitalni nadmadrac 823024,OXY-823024,Identites,,,75.00,NE,,75.00,,nedostupno
"Armfit+ tlakomjer s EKG funkcijom , Bluetooth povezivost",OXY-Armfit+,Lepu Medical,,,165.00,NE,,165.00,,dostupno
Aspirator za uši 819150,OXY-819150,Identites,,,10.50,NE,,10.50,,dostupno
Aston tuš stolica/WC,822165,Identites,,,399.00,NE,,399.00,,nedostupno
Azores sklopivo sjedalo za tuš,812298N,Identites,,,99.90,NE,,99.90,,nedostupno
Beurer set od 8 elektroda za TENS,EM49,,,,20.00,NE,,20.00,4211125661021,dostupno
Bočica za kisik 5L,1337/0810081,,,,5.00,NE,,5.00,,dostupno
Contour CPAP jastuk,01MT003,Contour,,,67.79,NE,,67.79,,dostupno
Creative pulsni oksimetar PC-60B1,1265,Creative Medical,,,35.00,NE,,35.00,,dostupno
"Crijevo za kisik 7,6 m",2025,,,,2.90,NE,,2.90,,nedostupno
Daska za sjedenje za kadu Java 812176N,OXY-812176N,Identites,,,58.00,NE,,58.00,,dostupno
Dječja štaka plava 816120.B,OXY-816120.B,Identites,,,17.50,NE,,17.50,,dostupno
Dječja štaka plava 816120.T,OXY-816120.T,Identites,,,17.50,NE,,17.50,,dostupno
Dječja štaka zelena 816120.P,OXY-816120.P,Identites,,,17.50,NE,,17.50,,dostupno
dr.Frei elastični steznik za koljeno - L,S6040L,dr.Frei,,,15.00,NE,,15.00,,dostupno
dr.Frei elastični steznik za koljeno - M,S6040M,dr.Frei,,,15.00,NE,,15.00,,nedostupno
dr.Frei elastični steznik za koljeno - S,S6040S,dr.Frei,,,15.00,NE,,15.00,,nedostupno
dr.Frei elastični steznik za koljeno - XL,S6040XL,dr.Frei,,,15.00,NE,,15.00,,nedostupno
dr.Frei elastični steznik za lakat - L,S8317L,dr.Frei,,,12.00,NE,,12.00,,nedostupno
dr.Frei elastični steznik za lakat - M,S8317M,dr.Frei,,,12.00,NE,,12.00,,dostupno
dr.Frei elastični steznik za lakat - S,S8317S,dr.Frei,,,12.00,NE,,12.00,,nedostupno
dr.Frei elastični steznik za lakat - XL,S8317XL,dr.Frei,,,12.00,NE,,12.00,,nedostupno
dr.Frei elastični steznik za zapešće - L,S8503L,dr.Frei,,,12.00,NE,,12.00,,nedostupno
dr.Frei elastični steznik za zapešće - M,S8503M,dr.Frei,,,12.00,NE,,12.00,,nedostupno
dr.Frei elastični steznik za zapešće - S,S8503S,dr.Frei,,,12.00,NE,,12.00,,nedostupno
dr.Frei elastični steznik za zapešće - XL,S8503XL,dr.Frei,,,12.00,NE,,12.00,,dostupno
dr.Frei Kids dječja mitela za ruku - L,KD910L,dr.Frei,,,40.00,NE,,40.00,,nedostupno
dr.Frei Kids dječja mitela za ruku - M,KD910M,dr.Frei,,,40.00,NE,,40.00,,nedostupno
dr.Frei Kids dječja mitela za ruku - S,KD910S,dr.Frei,,,40.00,NE,,40.00,,nedostupno
dr.Frei Kids dječja ortoza za ručni zglob - L,KD852L,dr.Frei,,,30.00,NE,,30.00,,dostupno
dr.Frei Kids dječja ortoza za ručni zglob - M,KD852M,dr.Frei,,,30.00,NE,,30.00,,dostupno
dr.Frei Kids dječja ortoza za ručni zglob - S,KD852S,dr.Frei,,,30.00,NE,,30.00,,nedostupno
dr.Frei Kids dječja potpora za pravilno držanje - L,KD205L,,,,40.00,NE,,40.00,,dostupno
dr.Frei Kids dječja potpora za pravilno držanje - M,KD205M,,,,40.00,NE,,40.00,,dostupno
dr.Frei Kids dječja potpora za pravilno držanje - S,KD205S,,,,40.00,NE,,40.00,,nedostupno
dr.Frei Kids dječji steznik za gležanj univerzalni,KD710,,,,25.00,NE,,25.00,,dostupno
dr.Frei Kids ortoza za palac - L,KD814L,dr.Frei,,,20.00,NE,,20.00,,dostupno
dr.Frei Kids ortoza za palac - M,KD814M,dr.Frei,,,20.00,NE,,20.00,,dostupno
dr.Frei Kids ortoza za palac - S,KD814S,dr.Frei,,,20.00,NE,,20.00,,nedostupno
dr.Frei Kids podesiva dječja ortoza za koljeno - L,KD658L,dr.Frei,,,45.00,NE,,45.00,,dostupno
dr.Frei Kids podesiva dječja ortoza za koljeno - M,KD658M,dr.Frei,,,45.00,NE,,45.00,,dostupno
dr.Frei Kids podesiva dječja ortoza za koljeno - S,KD658S,dr.Frei,,,45.00,NE,,45.00,,nedostupno
dr.Frei ortoza za koljeno,S6035,dr.Frei,,,45.00,NE,,45.00,,dostupno
dr.Frei ortoza za lakat s dodatnom fiksacijom,S8321,dr.Frei,,,35.00,NE,,35.00,,dostupno
dr.Frei ortoza za leđa,1372,dr.Frei,,,80.00,NE,,80.00,,dostupno
dr.Frei ortoza za leđa univerzalna,FG341,dr.Frei,,,100.00,NE,,100.00,,dostupno
dr.Frei ortoza za patelu s trakom,S6010,dr.Frei,,,20.00,NE,,20.00,,dostupno
dr.Frei ortoza za teniski/golferski lakat,S8322,dr.Frei,,,25.00,NE,,25.00,,nedostupno
dr.Frei ortoza za zapešće - Desna,S8551R,dr.Frei,,,40.00,NE,,40.00,,dostupno
